Portfolios,Return(weekly),Return(Annual),StdDev(weekly),StdDev(annual),Sharpe Ratio(weekly),Sharpe Ratio(annual),MDD,Total Return
GPT-weighted_15,0.004434,0.230542,0.029922,0.215768,0.141743,1.022124,-0.304695,1.823722
GPT-weighted_30,0.003916,0.203649,0.028693,0.206908,0.129788,0.935918,-0.293064,1.491082
GPT-weighted_45,0.003412,0.177425,0.026836,0.193517,0.119977,0.865168,-0.292763,1.214047
GPT-equal_15,0.004256,0.221326,0.029452,0.212379,0.137987,0.995041,-0.30825,1.706117
GPT-equal_30,0.003536,0.183871,0.028446,0.205127,0.117544,0.847624,-0.309779,1.260197
GPT-equal_45,0.003098,0.161111,0.026497,0.191075,0.109671,0.790847,-0.292243,1.04526
MVO_GMV_weighted_15,0.00353,0.183553,0.025183,0.181596,0.132533,0.955712,-0.28462,1.308442
MVO_GMV_weighted_30,0.00316,0.164333,0.023869,0.17212,0.124344,0.896657,-0.264879,1.114633
MVO_GMV_weighted_45,0.003005,0.156275,0.023634,0.17043,0.119021,0.858269,-0.248484,1.034137
MVO_Maxret_weighted_15,0.005797,0.301431,0.03457,0.249287,0.16212,1.169061,-0.305091,2.871941
MVO_Maxret_weighted_30,0.004608,0.239595,0.029812,0.214975,0.148106,1.06801,-0.296131,1.95633
MVO_Maxret_weighted_45,0.004315,0.224379,0.027287,0.19677,0.151085,1.089489,-0.271538,1.791755
MVO_MaxSharpe_weighted_15,0.005458,0.283829,0.032614,0.235184,0.161462,1.164318,-0.30585,2.606003
MVO_MaxSharpe_weighted_30,0.004483,0.233139,0.028474,0.205326,0.150705,1.086752,-0.283991,1.891714
MVO_MaxSharpe_weighted_45,0.004387,0.228145,0.02757,0.198813,0.15216,1.097241,-0.272763,1.838863
epo_GMV_weighted_15,0.004427,0.230196,0.030143,0.217368,0.140479,1.01301,-0.312053,1.813738
epo_GMV_weighted_30,0.003708,0.192804,0.028375,0.204613,0.123895,0.893417,-0.303098,1.364878
epo_GMV_weighted_45,0.003622,0.188321,0.027166,0.195899,0.126232,0.910274,-0.284024,1.332599
epo_Maxret_weighted_15,0.005797,0.301431,0.03457,0.249287,0.16212,1.169061,-0.305091,2.871941
epo_Maxret_weighted_30,0.00379,0.197089,0.028491,0.205449,0.126283,0.910637,-0.306629,1.413803
epo_Maxret_weighted_45,0.003909,0.203283,0.026699,0.192528,0.139219,1.003923,-0.26823,1.522322
epo_MaxSharpe_weighted_15,0.005782,0.300665,0.002116,0.251192,0.160467,1.157145,-0.309756,2.848144
epo_MaxSharpe_weighted_30,0.004144,0.215478,0.029863,0.215343,0.132322,0.95419,-0.308707,1.619473
epo_MaxSharpe_weighted_45,0.003907,0.203184,0.026686,0.192433,0.139216,1.003904,-0.268134,1.521309
S&P 500 Index,0.002116,0.110054,0.028093,0.202585,0.06849,0.493886,-0.318103,0.565461
,,,,,,,,
