Portfolios,Return(weekly),Return(Annual),StdDev(weekly),StdDev(annual),Sharpe Ratio(weekly),Sharpe Ratio(annual),MDD,Total Return
GPT-weighted_15,0.00088,0.045758,0.01779,0.128282,0.038655,0.278747,-0.114033,0.019816
GPT-weighted_30,0.001708,0.088826,0.017579,0.126764,0.086233,0.621834,-0.102669,0.04297
GPT-weighted_45,0.000182,0.00948,0.015485,0.111664,-0.000646,-0.004657,-0.094347,0.001804
GPT-equal_15,0.000406,0.021134,0.017283,0.124629,0.012389,0.089336,-0.115157,0.007102
GPT-equal_30,0.000392,0.020407,0.016878,0.121711,0.011858,0.085507,-0.099057,0.006915
GPT-equal_45,-0.000256,-0.013291,0.01559,0.112419,-0.02873,-0.207176,-0.091209,-0.010013
MVO_GMV_weighted_15,-0.002297,-0.119429,0.014844,0.107039,-0.167682,-1.20917,-0.123371,-0.062892
MVO_GMV_weighted_30,-0.001763,-0.091656,0.014275,0.102937,-0.13695,-0.987564,-0.098483,-0.049046
MVO_GMV_weighted_45,-0.001189,-0.061806,0.014304,0.10315,-0.096535,-0.696126,-0.08387,-0.034174
MVO_Maxret_weighted_15,0.003042,0.158178,0.022512,0.162333,0.126583,0.9128,-0.113214,0.078351
MVO_Maxret_weighted_30,0.001344,0.069904,0.017697,0.127614,0.065096,0.469415,-0.099568,0.032723
MVO_Maxret_weighted_45,0.000396,0.020588,0.015492,0.111717,0.013143,0.094774,-0.099287,0.00759
MVO_MaxSharpe_weighted_15,0.00133,0.069152,0.019838,0.143052,0.057342,0.413499,-0.119323,0.031228
MVO_MaxSharpe_weighted_30,0.001017,0.052872,0.015854,0.114326,0.052003,0.374999,-0.093409,0.024464
MVO_MaxSharpe_weighted_45,0.000194,0.010113,0.015006,0.108213,0.000145,0.001043,-0.096795,0.002317
epo_GMV_weighted_15,0.000326,0.016965,0.017929,0.129286,0.007471,0.053876,-0.119051,0.004621
epo_GMV_weighted_30,0.000374,0.019449,0.01681,0.12122,0.010809,0.077946,-0.098434,0.00644
epo_GMV_weighted_45,0.000417,0.021666,0.01566,0.112925,0.014326,0.103309,-0.086474,0.008086
epo_Maxret_weighted_15,0.003042,0.158178,0.022512,0.162333,0.126583,0.9128,-0.113214,0.078351
epo_Maxret_weighted_30,0.00083,0.043161,0.015298,0.110313,0.041687,0.300606,-0.09081,0.019547
epo_Maxret_weighted_45,0.000357,0.018558,0.015337,0.110594,0.010731,0.077386,-0.089644,0.006597
epo_MaxSharpe_weighted_15,0.002852,0.148326,0.022744,0.16401,0.116959,0.8434,-0.117042,0.072714
epo_MaxSharpe_weighted_30,0.001272,0.066157,0.016402,0.118278,0.065841,0.474786,-0.096702,0.031312
epo_MaxSharpe_weighted_45,0.000357,0.018568,0.015324,0.110504,0.010752,0.077536,-0.089556,0.006607
SnP500,-0.000043,-0.002224,0.016633,0.119945,-0.014133,-0.101916,-0.101448,-0.004564
