Portfolio,Average Daily Return,Average Daily Std Dev,Sharpe ratio
Max Sharpe EPO-weighted 15,0.005600975,0.102287492,0.05475718
MVO_Maxret-weighted 15,0.005482809,0.100784819,0.054401137
Max ret EPO-weighted 15,0.005482809,0.100784819,0.054401137
MVO_Maxret-weighted 45,0.005260404,0.098076525,0.053635711
MVO_MaxSharpe-weighted 45,0.005260404,0.098076525,0.053635711
MVO_MaxSharpe-weighted 30,0.005260207,0.098074217,0.053634959
MVO_Maxret-weighted 30,0.005085759,0.096128189,0.052906007
MVO_MaxSharpe-weighted 15,0.004969244,0.094711116,0.05246738
Max Sharpe EPO-weighted 30,0.004771835,0.092072458,0.051826957
Max ret EPO-weighted 30,0.004068525,0.083083998,0.048968816
GMV EPO-weighted 45,0.004177468,0.085884692,0.048640431
GMV EPO-weighted 30,0.003940909,0.082807831,0.047591017
Max ret EPO-weighted 45,0.003543043,0.076684023,0.04620314
Max Sharpe EPO-weighted 45,0.003541376,0.07665903,0.046196466
GPT-weighted 15,0.003530352,0.076952444,0.045877057
GMV EPO-weighted 15,0.003461647,0.076313602,0.045360815
GPT-weighted 30,0.003287792,0.073299082,0.044854477
GPT-weighted 45,0.00320615,0.072340839,0.04432006
GPT-equal 15,0.003225968,0.072813102,0.044304778
GPT-equal 30,0.003225968,0.072813102,0.044304778
GPT-equal 45,0.003225968,0.072813102,0.044304778
MVO_GMV-weighted 45,0.002080134,0.05544445,0.037517434
MVO_GMV-weighted 15,0.002035268,0.054749043,0.037174494
MVO_GMV-weighted 30,0.002030169,0.054644595,0.037152237
